Jannik Sinner (14165339),Ons Jabeur (14165338),Cori Gauff (14165336),Alison Riske (14165332),Marin Cilic (14165330),Dusan Lajovic (14165327),50000,0.0798257,0
Filip Krajinovic (14165363),Alejandro Davidovich Fokina (14165358),Greet Minnen (14165351),Madison Keys (14165318),Serena Williams (14165315),Novak Djokovic (14165314),46400,0.00388448,0
Tamara Zidansek (14165364),Alejandro Davidovich Fokina (14165358),Greet Minnen (14165351),Madison Keys (14165318),Roger Federer (14165316),Novak Djokovic (14165314),45700,0.00290218,0
Tatsuma Ito (14165365),Alejandro Davidovich Fokina (14165358),Greet Minnen (14165351),Madison Keys (14165318),Roger Federer (14165316),Serena Williams (14165315),45300,0.00290218,0
Michael Mmoh (14165360),Philipp Kohlschreiber (14165359),Greet Minnen (14165351),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),47300,0.00787227,0
Polona Hercog (14165361),Philipp Kohlschreiber (14165359),Greet Minnen (14165351),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),47200,0.00730997,0
Arantxa Rus (14165362),Philipp Kohlschreiber (14165359),Greet Minnen (14165351),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),47000,0.00511698,0
Filip Krajinovic (14165363),Philipp Kohlschreiber (14165359),Greet Minnen (14165351),Madison Keys (14165318),Serena Williams (14165315),Novak Djokovic (14165314),46300,0.00310759,0
Tamara Zidansek (14165364),Philipp Kohlschreiber (14165359),Greet Minnen (14165351),Madison Keys (14165318),Roger Federer (14165316),Novak Djokovic (14165314),45600,0.00232175,0
Tatsuma Ito (14165365),Philipp Kohlschreiber (14165359),Greet Minnen (14165351),Madison Keys (14165318),Roger Federer (14165316),Serena Williams (14165315),45200,0.00232175,0
Polona Hercog (14165361),Michael Mmoh (14165360),Greet Minnen (14165351),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),47100,0.00674766,0
Arantxa Rus (14165362),Michael Mmoh (14165360),Greet Minnen (14165351),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),46900,0.00472336,0
Filip Krajinovic (14165363),Michael Mmoh (14165360),Greet Minnen (14165351),Madison Keys (14165318),Serena Williams (14165315),Novak Djokovic (14165314),46200,0.00286854,0
Tamara Zidansek (14165364),Michael Mmoh (14165360),Greet Minnen (14165351),Madison Keys (14165318),Roger Federer (14165316),Novak Djokovic (14165314),45500,0.00214315,0
Tatsuma Ito (14165365),Michael Mmoh (14165360),Greet Minnen (14165351),Madison Keys (14165318),Roger Federer (14165316),Serena Williams (14165315),45100,0.00214315,0
Arantxa Rus (14165362),Polona Hercog (14165361),Greet Minnen (14165351),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),46800,0.00438598,0
Filip Krajinovic (14165363),Polona Hercog (14165361),Greet Minnen (14165351),Madison Keys (14165318),Serena Williams (14165315),Novak Djokovic (14165314),46100,0.00266365,0
Tamara Zidansek (14165364),Polona Hercog (14165361),Greet Minnen (14165351),Madison Keys (14165318),Roger Federer (14165316),Novak Djokovic (14165314),45400,0.00199007,0
Tatsuma Ito (14165365),Polona Hercog (14165361),Greet Minnen (14165351),Madison Keys (14165318),Roger Federer (14165316),Serena Williams (14165315),45000,0.00199007,0
Filip Krajinovic (14165363),Arantxa Rus (14165362),Greet Minnen (14165351),Ashleigh Barty (14165317),Serena Williams (14165315),Novak Djokovic (14165314),46100,0.00178072,0
Tamara Zidansek (14165364),Arantxa Rus (14165362),Greet Minnen (14165351),Ashleigh Barty (14165317),Roger Federer (14165316),Novak Djokovic (14165314),45400,0.00133041,0
Tatsuma Ito (14165365),Arantxa Rus (14165362),Greet Minnen (14165351),Ashleigh Barty (14165317),Roger Federer (14165316),Serena Williams (14165315),45000,0.00133041,0
Tamara Zidansek (14165364),Filip Krajinovic (14165363),Greet Minnen (14165351),Madison Keys (14165318),Ashleigh Barty (14165317),Novak Djokovic (14165314),44700,0.000807973,0
Tatsuma Ito (14165365),Filip Krajinovic (14165363),Greet Minnen (14165351),Madison Keys (14165318),Ashleigh Barty (14165317),Serena Williams (14165315),44300,0.000807973,0
Tatsuma Ito (14165365),Tamara Zidansek (14165364),Greet Minnen (14165351),Madison Keys (14165318),Ashleigh Barty (14165317),Roger Federer (14165316),43600,0.000603654,0
Nao Hibino (14165354),Fiona Ferro (14165353),Marc Polmans (14165352),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),49200,0.0185872,0
Cristian Garin (14165355),Fiona Ferro (14165353),Marc Polmans (14165352),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),49000,0.0220187,0
Tennys Sandgren (14165356),Fiona Ferro (14165353),Marc Polmans (14165352),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),48800,0.0181166,0
Barbora Krejcikova (14165357),Fiona Ferro (14165353),Marc Polmans (14165352),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),48600,0.0174538,0
Alejandro Davidovich Fokina (14165358),Fiona Ferro (14165353),Marc Polmans (14165352),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),48400,0.0149085,0
Philipp Kohlschreiber (14165359),Fiona Ferro (14165353),Marc Polmans (14165352),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),48300,0.0119268,0
Michael Mmoh (14165360),Fiona Ferro (14165353),Marc Polmans (14165352),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),48200,0.0110093,0
Polona Hercog (14165361),Fiona Ferro (14165353),Marc Polmans (14165352),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),48100,0.010223,0
Arantxa Rus (14165362),Fiona Ferro (14165353),Marc Polmans (14165352),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),47900,0.00715607,0
Filip Krajinovic (14165363),Fiona Ferro (14165353),Marc Polmans (14165352),Madison Keys (14165318),Serena Williams (14165315),Novak Djokovic (14165314),47200,0.00434595,0
Tamara Zidansek (14165364),Fiona Ferro (14165353),Marc Polmans (14165352),Madison Keys (14165318),Roger Federer (14165316),Novak Djokovic (14165314),46500,0.00324695,0
Tatsuma Ito (14165365),Fiona Ferro (14165353),Marc Polmans (14165352),Madison Keys (14165318),Roger Federer (14165316),Serena Williams (14165315),46100,0.00324695,0
Cristian Garin (14165355),Nao Hibino (14165354),Marc Polmans (14165352),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),48900,0.020017,0
Tennys Sandgren (14165356),Nao Hibino (14165354),Marc Polmans (14165352),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),48700,0.0164697,0
Barbora Krejcikova (14165357),Nao Hibino (14165354),Marc Polmans (14165352),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),48500,0.0158671,0
Alejandro Davidovich Fokina (14165358),Nao Hibino (14165354),Marc Polmans (14165352),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),48300,0.0135532,0
Philipp Kohlschreiber (14165359),Nao Hibino (14165354),Marc Polmans (14165352),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),48200,0.0108425,0
Michael Mmoh (14165360),Nao Hibino (14165354),Marc Polmans (14165352),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),48100,0.0100085,0
Polona Hercog (14165361),Nao Hibino (14165354),Marc Polmans (14165352),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),48000,0.0092936,0
Arantxa Rus (14165362),Nao Hibino (14165354),Marc Polmans (14165352),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),47800,0.00650552,0
Filip Krajinovic (14165363),Nao Hibino (14165354),Marc Polmans (14165352),Madison Keys (14165318),Serena Williams (14165315),Novak Djokovic (14165314),47100,0.00395086,0
Tamara Zidansek (14165364),Nao Hibino (14165354),Marc Polmans (14165352),Madison Keys (14165318),Roger Federer (14165316),Novak Djokovic (14165314),46400,0.00295177,0
Tatsuma Ito (14165365),Nao Hibino (14165354),Marc Polmans (14165352),Madison Keys (14165318),Roger Federer (14165316),Serena Williams (14165315),46000,0.00295177,0
Tennys Sandgren (14165356),Cristian Garin (14165355),Marc Polmans (14165352),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),48500,0.0195102,0
Barbora Krejcikova (14165357),Cristian Garin (14165355),Marc Polmans (14165352),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),48300,0.0187964,0
Alejandro Davidovich Fokina (14165358),Cristian Garin (14165355),Marc Polmans (14165352),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),48100,0.0160553,0
Philipp Kohlschreiber (14165359),Cristian Garin (14165355),Marc Polmans (14165352),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),48000,0.0128442,0
Michael Mmoh (14165360),Cristian Garin (14165355),Marc Polmans (14165352),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),47900,0.0118562,0
Polona Hercog (14165361),Cristian Garin (14165355),Marc Polmans (14165352),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),47800,0.0110093,0
Arantxa Rus (14165362),Cristian Garin (14165355),Marc Polmans (14165352),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),47600,0.00770654,0
Filip Krajinovic (14165363),Cristian Garin (14165355),Marc Polmans (14165352),Madison Keys (14165318),Serena Williams (14165315),Novak Djokovic (14165314),46900,0.00468025,0
Tamara Zidansek (14165364),Cristian Garin (14165355),Marc Polmans (14165352),Madison Keys (14165318),Roger Federer (14165316),Novak Djokovic (14165314),46200,0.00349672,0
Tatsuma Ito (14165365),Cristian Garin (14165355),Marc Polmans (14165352),Madison Keys (14165318),Roger Federer (14165316),Serena Williams (14165315),45800,0.00349672,0
Barbora Krejcikova (14165357),Tennys Sandgren (14165356),Marc Polmans (14165352),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),48100,0.0154654,0
Alejandro Davidovich Fokina (14165358),Tennys Sandgren (14165356),Marc Polmans (14165352),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),47900,0.01321,0
Philipp Kohlschreiber (14165359),Tennys Sandgren (14165356),Marc Polmans (14165352),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),47800,0.010568,0
Michael Mmoh (14165360),Tennys Sandgren (14165356),Marc Polmans (14165352),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),47700,0.00975511,0
Polona Hercog (14165361),Tennys Sandgren (14165356),Marc Polmans (14165352),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),47600,0.00905832,0
Arantxa Rus (14165362),Tennys Sandgren (14165356),Marc Polmans (14165352),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),47400,0.00634082,0
Filip Krajinovic (14165363),Tennys Sandgren (14165356),Marc Polmans (14165352),Madison Keys (14165318),Serena Williams (14165315),Novak Djokovic (14165314),46700,0.00385084,0
Tamara Zidansek (14165364),Tennys Sandgren (14165356),Marc Polmans (14165352),Madison Keys (14165318),Roger Federer (14165316),Novak Djokovic (14165314),46000,0.00287705,0
Tatsuma Ito (14165365),Tennys Sandgren (14165356),Marc Polmans (14165352),Madison Keys (14165318),Roger Federer (14165316),Serena Williams (14165315),45600,0.00287705,0
Alejandro Davidovich Fokina (14165358),Barbora Krejcikova (14165357),Marc Polmans (14165352),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),47700,0.0127268,0
Philipp Kohlschreiber (14165359),Barbora Krejcikova (14165357),Marc Polmans (14165352),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),47600,0.0101814,0
Michael Mmoh (14165360),Barbora Krejcikova (14165357),Marc Polmans (14165352),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),47500,0.00939822,0
Polona Hercog (14165361),Barbora Krejcikova (14165357),Marc Polmans (14165352),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),47400,0.00872692,0
Arantxa Rus (14165362),Barbora Krejcikova (14165357),Marc Polmans (14165352),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),47200,0.00610884,0
Filip Krajinovic (14165363),Barbora Krejcikova (14165357),Marc Polmans (14165352),Madison Keys (14165318),Serena Williams (14165315),Novak Djokovic (14165314),46500,0.00370996,0
Tamara Zidansek (14165364),Barbora Krejcikova (14165357),Marc Polmans (14165352),Madison Keys (14165318),Roger Federer (14165316),Novak Djokovic (14165314),45800,0.00277179,0
Tatsuma Ito (14165365),Barbora Krejcikova (14165357),Marc Polmans (14165352),Madison Keys (14165318),Roger Federer (14165316),Serena Williams (14165315),45400,0.00277179,0
Philipp Kohlschreiber (14165359),Alejandro Davidovich Fokina (14165358),Marc Polmans (14165352),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),47400,0.00869662,0
Michael Mmoh (14165360),Alejandro Davidovich Fokina (14165358),Marc Polmans (14165352),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),47300,0.00802765,0
Polona Hercog (14165361),Alejandro Davidovich Fokina (14165358),Marc Polmans (14165352),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),47200,0.00745424,0
Arantxa Rus (14165362),Alejandro Davidovich Fokina (14165358),Marc Polmans (14165352),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),47000,0.00521797,0
Filip Krajinovic (14165363),Alejandro Davidovich Fokina (14165358),Marc Polmans (14165352),Madison Keys (14165318),Serena Williams (14165315),Novak Djokovic (14165314),46300,0.00316892,0
Tamara Zidansek (14165364),Alejandro Davidovich Fokina (14165358),Marc Polmans (14165352),Madison Keys (14165318),Roger Federer (14165316),Novak Djokovic (14165314),45600,0.00236757,0
Tatsuma Ito (14165365),Alejandro Davidovich Fokina (14165358),Marc Polmans (14165352),Madison Keys (14165318),Roger Federer (14165316),Serena Williams (14165315),45200,0.00236757,0
Michael Mmoh (14165360),Philipp Kohlschreiber (14165359),Marc Polmans (14165352),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),47200,0.00642212,0
Polona Hercog (14165361),Philipp Kohlschreiber (14165359),Marc Polmans (14165352),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),47100,0.00596339,0
Arantxa Rus (14165362),Philipp Kohlschreiber (14165359),Marc Polmans (14165352),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),46900,0.00417438,0
Filip Krajinovic (14165363),Philipp Kohlschreiber (14165359),Marc Polmans (14165352),Madison Keys (14165318),Serena Williams (14165315),Novak Djokovic (14165314),46200,0.00253514,0
Tamara Zidansek (14165364),Philipp Kohlschreiber (14165359),Marc Polmans (14165352),Madison Keys (14165318),Roger Federer (14165316),Novak Djokovic (14165314),45500,0.00189406,0
Tatsuma Ito (14165365),Philipp Kohlschreiber (14165359),Marc Polmans (14165352),Madison Keys (14165318),Roger Federer (14165316),Serena Williams (14165315),45100,0.00189406,0
Polona Hercog (14165361),Michael Mmoh (14165360),Marc Polmans (14165352),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),47000,0.00550467,0
Arantxa Rus (14165362),Michael Mmoh (14165360),Marc Polmans (14165352),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),46800,0.00385327,0
Filip Krajinovic (14165363),Michael Mmoh (14165360),Marc Polmans (14165352),Madison Keys (14165318),Serena Williams (14165315),Novak Djokovic (14165314),46100,0.00234013,0
Tamara Zidansek (14165364),Michael Mmoh (14165360),Marc Polmans (14165352),Madison Keys (14165318),Roger Federer (14165316),Novak Djokovic (14165314),45400,0.00174836,0
Tatsuma Ito (14165365),Michael Mmoh (14165360),Marc Polmans (14165352),Madison Keys (14165318),Roger Federer (14165316),Serena Williams (14165315),45000,0.00174836,0
Arantxa Rus (14165362),Polona Hercog (14165361),Marc Polmans (14165352),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),46700,0.00357804,0
Filip Krajinovic (14165363),Polona Hercog (14165361),Marc Polmans (14165352),Madison Keys (14165318),Serena Williams (14165315),Novak Djokovic (14165314),46000,0.00217297,0
Tamara Zidansek (14165364),Polona Hercog (14165361),Marc Polmans (14165352),Madison Keys (14165318),Roger Federer (14165316),Novak Djokovic (14165314),45300,0.00162348,0
Tatsuma Ito (14165365),Polona Hercog (14165361),Marc Polmans (14165352),Madison Keys (14165318),Roger Federer (14165316),Serena Williams (14165315),44900,0.00162348,0
Filip Krajinovic (14165363),Arantxa Rus (14165362),Marc Polmans (14165352),Ashleigh Barty (14165317),Serena Williams (14165315),Novak Djokovic (14165314),46000,0.00145269,0
Tamara Zidansek (14165364),Arantxa Rus (14165362),Marc Polmans (14165352),Ashleigh Barty (14165317),Roger Federer (14165316),Novak Djokovic (14165314),45300,0.00108534,0
Tatsuma Ito (14165365),Arantxa Rus (14165362),Marc Polmans (14165352),Ashleigh Barty (14165317),Roger Federer (14165316),Serena Williams (14165315),44900,0.00108534,0
Tamara Zidansek (14165364),Filip Krajinovic (14165363),Marc Polmans (14165352),Madison Keys (14165318),Ashleigh Barty (14165317),Novak Djokovic (14165314),44600,0.000659136,0
Tatsuma Ito (14165365),Filip Krajinovic (14165363),Marc Polmans (14165352),Madison Keys (14165318),Ashleigh Barty (14165317),Serena Williams (14165315),44200,0.000659136,0
Tatsuma Ito (14165365),Tamara Zidansek (14165364),Marc Polmans (14165352),Madison Keys (14165318),Ashleigh Barty (14165317),Roger Federer (14165316),43500,0.000492454,0
Cristian Garin (14165355),Nao Hibino (14165354),Fiona Ferro (14165353),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),48800,0.0217327,0
Tennys Sandgren (14165356),Nao Hibino (14165354),Fiona Ferro (14165353),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),48600,0.0178814,0
Barbora Krejcikova (14165357),Nao Hibino (14165354),Fiona Ferro (14165353),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),48400,0.0172272,0
Alejandro Davidovich Fokina (14165358),Nao Hibino (14165354),Fiona Ferro (14165353),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),48200,0.0147149,0
Philipp Kohlschreiber (14165359),Nao Hibino (14165354),Fiona Ferro (14165353),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),48100,0.0117719,0
Michael Mmoh (14165360),Nao Hibino (14165354),Fiona Ferro (14165353),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),48000,0.0108664,0
Polona Hercog (14165361),Nao Hibino (14165354),Fiona Ferro (14165353),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),47900,0.0100902,0
Arantxa Rus (14165362),Nao Hibino (14165354),Fiona Ferro (14165353),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),47700,0.00706314,0
Filip Krajinovic (14165363),Nao Hibino (14165354),Fiona Ferro (14165353),Madison Keys (14165318),Serena Williams (14165315),Novak Djokovic (14165314),47000,0.00428951,0
Tamara Zidansek (14165364),Nao Hibino (14165354),Fiona Ferro (14165353),Madison Keys (14165318),Roger Federer (14165316),Novak Djokovic (14165314),46300,0.00320478,0
Tatsuma Ito (14165365),Nao Hibino (14165354),Fiona Ferro (14165353),Madison Keys (14165318),Roger Federer (14165316),Serena Williams (14165315),45900,0.00320478,0
Tennys Sandgren (14165356),Cristian Garin (14165355),Fiona Ferro (14165353),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),48400,0.0211825,0
Barbora Krejcikova (14165357),Cristian Garin (14165355),Fiona Ferro (14165353),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),48200,0.0204076,0
Alejandro Davidovich Fokina (14165358),Cristian Garin (14165355),Fiona Ferro (14165353),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),48000,0.0174315,0
Philipp Kohlschreiber (14165359),Cristian Garin (14165355),Fiona Ferro (14165353),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),47900,0.0139452,0
Michael Mmoh (14165360),Cristian Garin (14165355),Fiona Ferro (14165353),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),47800,0.0128725,0
Polona Hercog (14165361),Cristian Garin (14165355),Fiona Ferro (14165353),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),47700,0.011953,0
Arantxa Rus (14165362),Cristian Garin (14165355),Fiona Ferro (14165353),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),47500,0.0083671,0
Filip Krajinovic (14165363),Cristian Garin (14165355),Fiona Ferro (14165353),Madison Keys (14165318),Serena Williams (14165315),Novak Djokovic (14165314),46800,0.00508142,0
Tamara Zidansek (14165364),Cristian Garin (14165355),Fiona Ferro (14165353),Madison Keys (14165318),Roger Federer (14165316),Novak Djokovic (14165314),46100,0.00379644,0
Tatsuma Ito (14165365),Cristian Garin (14165355),Fiona Ferro (14165353),Madison Keys (14165318),Roger Federer (14165316),Serena Williams (14165315),45700,0.00379644,0
Barbora Krejcikova (14165357),Tennys Sandgren (14165356),Fiona Ferro (14165353),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),48000,0.016791,0
Alejandro Davidovich Fokina (14165358),Tennys Sandgren (14165356),Fiona Ferro (14165353),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),47800,0.0143423,0
Philipp Kohlschreiber (14165359),Tennys Sandgren (14165356),Fiona Ferro (14165353),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),47700,0.0114739,0
Michael Mmoh (14165360),Tennys Sandgren (14165356),Fiona Ferro (14165353),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),47600,0.0105913,0
Polona Hercog (14165361),Tennys Sandgren (14165356),Fiona Ferro (14165353),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),47500,0.00983475,0
Arantxa Rus (14165362),Tennys Sandgren (14165356),Fiona Ferro (14165353),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),47300,0.00688432,0
Filip Krajinovic (14165363),Tennys Sandgren (14165356),Fiona Ferro (14165353),Madison Keys (14165318),Serena Williams (14165315),Novak Djokovic (14165314),46600,0.00418091,0
Tamara Zidansek (14165364),Tennys Sandgren (14165356),Fiona Ferro (14165353),Madison Keys (14165318),Roger Federer (14165316),Novak Djokovic (14165314),45900,0.00312365,0
Tatsuma Ito (14165365),Tennys Sandgren (14165356),Fiona Ferro (14165353),Madison Keys (14165318),Roger Federer (14165316),Serena Williams (14165315),45500,0.00312365,0
Alejandro Davidovich Fokina (14165358),Barbora Krejcikova (14165357),Fiona Ferro (14165353),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),47600,0.0138176,0
Philipp Kohlschreiber (14165359),Barbora Krejcikova (14165357),Fiona Ferro (14165353),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),47500,0.0110541,0
Michael Mmoh (14165360),Barbora Krejcikova (14165357),Fiona Ferro (14165353),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),47400,0.0102038,0
Polona Hercog (14165361),Barbora Krejcikova (14165357),Fiona Ferro (14165353),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),47300,0.00947494,0
Arantxa Rus (14165362),Barbora Krejcikova (14165357),Fiona Ferro (14165353),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),47100,0.00663246,0
Filip Krajinovic (14165363),Barbora Krejcikova (14165357),Fiona Ferro (14165353),Madison Keys (14165318),Serena Williams (14165315),Novak Djokovic (14165314),46400,0.00402795,0
Tamara Zidansek (14165364),Barbora Krejcikova (14165357),Fiona Ferro (14165353),Madison Keys (14165318),Roger Federer (14165316),Novak Djokovic (14165314),45700,0.00300937,0
Tatsuma Ito (14165365),Barbora Krejcikova (14165357),Fiona Ferro (14165353),Madison Keys (14165318),Roger Federer (14165316),Serena Williams (14165315),45300,0.00300937,0
Philipp Kohlschreiber (14165359),Alejandro Davidovich Fokina (14165358),Fiona Ferro (14165353),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),47300,0.00944204,0
Michael Mmoh (14165360),Alejandro Davidovich Fokina (14165358),Fiona Ferro (14165353),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),47200,0.00871573,0
Polona Hercog (14165361),Alejandro Davidovich Fokina (14165358),Fiona Ferro (14165353),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),47100,0.00809318,0
Arantxa Rus (14165362),Alejandro Davidovich Fokina (14165358),Fiona Ferro (14165353),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),46900,0.00566522,0
Filip Krajinovic (14165363),Alejandro Davidovich Fokina (14165358),Fiona Ferro (14165353),Madison Keys (14165318),Serena Williams (14165315),Novak Djokovic (14165314),46200,0.00344054,0
Tamara Zidansek (14165364),Alejandro Davidovich Fokina (14165358),Fiona Ferro (14165353),Madison Keys (14165318),Roger Federer (14165316),Novak Djokovic (14165314),45500,0.0025705,0
Tatsuma Ito (14165365),Alejandro Davidovich Fokina (14165358),Fiona Ferro (14165353),Madison Keys (14165318),Roger Federer (14165316),Serena Williams (14165315),45100,0.0025705,0
Michael Mmoh (14165360),Philipp Kohlschreiber (14165359),Fiona Ferro (14165353),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),47100,0.00697258,0
Polona Hercog (14165361),Philipp Kohlschreiber (14165359),Fiona Ferro (14165353),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),47000,0.00647454,0
Arantxa Rus (14165362),Philipp Kohlschreiber (14165359),Fiona Ferro (14165353),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),46800,0.00453218,0
Filip Krajinovic (14165363),Philipp Kohlschreiber (14165359),Fiona Ferro (14165353),Madison Keys (14165318),Serena Williams (14165315),Novak Djokovic (14165314),46100,0.00275243,0
Tamara Zidansek (14165364),Philipp Kohlschreiber (14165359),Fiona Ferro (14165353),Madison Keys (14165318),Roger Federer (14165316),Novak Djokovic (14165314),45400,0.0020564,0
Tatsuma Ito (14165365),Philipp Kohlschreiber (14165359),Fiona Ferro (14165353),Madison Keys (14165318),Roger Federer (14165316),Serena Williams (14165315),45000,0.0020564,0
Polona Hercog (14165361),Michael Mmoh (14165360),Fiona Ferro (14165353),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),46900,0.0059765,0
Arantxa Rus (14165362),Michael Mmoh (14165360),Fiona Ferro (14165353),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),46700,0.00418355,0
Filip Krajinovic (14165363),Michael Mmoh (14165360),Fiona Ferro (14165353),Madison Keys (14165318),Serena Williams (14165315),Novak Djokovic (14165314),46000,0.00254071,0
Tamara Zidansek (14165364),Michael Mmoh (14165360),Fiona Ferro (14165353),Madison Keys (14165318),Roger Federer (14165316),Novak Djokovic (14165314),45300,0.00189822,0
Tatsuma Ito (14165365),Michael Mmoh (14165360),Fiona Ferro (14165353),Madison Keys (14165318),Roger Federer (14165316),Serena Williams (14165315),44900,0.00189822,0
Arantxa Rus (14165362),Polona Hercog (14165361),Fiona Ferro (14165353),Roger Federer (14165316),Serena Williams (14165315),Novak Djokovic (14165314),46600,0.00388472,0
Filip Krajinovic (14165363),Polona Hercog (14165361),Fiona Ferro (14165353),Madison Keys (14165318),Serena Williams (14165315),Novak Djokovic (14165314),45900,0.00235923,0
Tamara Zidansek (14165364),Polona Hercog (14165361),Fiona Ferro (14165353),Madison Keys (14165318),Roger Federer (14165316),Novak Djokovic (14165314),45200,0.00176263,0
